"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITPKB",65.9224538285617,2.1964348319914,0.402907212163154,5.45146566178113,4.99563688118254e-08,4.99563688118254e-07
"TIMP1",1637.35172536808,-1.70565684501432,0.313639663654846,-5.43826895214173,5.38007190461518e-08,5.09691022542491e-07
"MOCS2",725.452849595409,-1.17414582964203,0.21784850102936,-5.38973563781274,7.05614044310064e-08,6.35052639879058e-07
"RRP15",583.103571526315,-1.44935407003804,0.270845653050437,-5.35121776448869,8.73643128575091e-08,7.48836967350078e-07
"MT-TS1",45.6491485619237,-2.30859807961927,0.434658458211657,-5.31129220196861,1.08850637812049e-07,8.90596127553128e-07
"GPR75",87.3329476818276,-2.05145196354433,0.387805972778156,-5.28989264618123,1.2238817421904e-07,9.57820493888141e-07
"C3orf14",443.127791543567,-1.22673051261652,0.233790583653312,-5.24713396684804,1.54483567358233e-07,1.15862675518675e-06
"CHST1",67.1056274767677,2.56567671580261,0.493165136017861,5.2024697782158,1.96657347439318e-07,1.41593290156309e-06
"DNM3OS",51.2986176979744,-2.59403820090474,0.500869208255475,-5.17907301576745,2.2299118411299e-07,1.54378512078224e-06
"DKK1",52.5787364704437,-2.10721798694413,0.408143197563614,-5.16293790885904,2.43103796506932e-07,1.62069197671288e-06
"DUSP9",61.7467777543889,2.08906347103317,0.419857406871188,4.97564991552974,6.50290827231023e-07,4.18044103219943e-06
"RRP1B",3232.54078209148,-1.18154168742927,0.239736515780375,-4.92850112375743,8.28628581491221e-07,5.14321188511792e-06
"RPUSD1",903.153217713936,-1.53359034154448,0.318772781858876,-4.81091996814024,1.50237170174207e-06,8.72344859076041e-06
"CALML6",93.5299233427208,1.68021290515917,0.349070612189908,4.81338974546809,1.48391485037008e-06,8.72344859076041e-06
"SNORA73B",49.8371909291838,-2.05134716864203,0.438450298655867,-4.67863102141961,2.88796604601936e-06,1.62448090088589e-05
"MIR548XHG",6.44936483796133,-6.51502853938659,1.46265700463324,-4.45424218989758,8.41900242105938e-06,4.59218313875966e-05
"SEMA5B",29.0399402956067,2.82172336474476,0.64238637767837,4.39256413708937,1.12021567603676e-05,5.93055357901815e-05
"ALS2CL",109.028141626956,1.78740920212145,0.414886036810347,4.30819319893986,1.64593585559109e-05,8.21689121570708e-05
"TRIB2",100.03982899419,-1.652205446601,0.383377510762527,-4.3096045026606,1.63546762702887e-05,8.21689121570708e-05
"DNTTIP2",1265.07232376,-1.51846061235603,0.352927455033679,-4.30247233729982,1.68902763878423e-05,8.21689121570708e-05
